ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
000101-00-0002,C05,WI01,WI02,WI03,C14,C17,C01,WI04,WI05,C18,,,,,,,,
000101-00-0003,C17,C18,C05,C04,C12,C13,,,,,,,,,,,,
000101-00-0003,C18,WI01,C05,C04,C16,C03,C17,C13,C12,C15,C11,C10,C09,C08,C07,C06,C02,C14
000101-00-0005,C18,C03,C11,C15,C17,C16,C08,C07,C04,C09,C10,C13,C12,C14,C01,C02,C06,
000101-00-0006,C05,,,,,,,,,,,,,,,,,
000101-00-0009,C15,C18,,,,,,,,,,,,,,,,
000101-00-0010,C15,C03,,,,,,,,,,,,,,,,
000101-00-0013,C18,C05,C16,C03,C04,C13,C14,C15,C17,C12,,,,,,,,
000101-00-0014,C18,C17,C04,C05,C03,C14,C16,,,,,,,,,,,
000101-00-0017,C17,C05,C12,C11,C16,C13,C07,C08,,,,,,,,,,
000101-00-0018,C17,C06,C15,,,,,,,,,,,,,,,
000101-00-0021,C10,C15,C02,,,,,,,,,,,,,,,
000101-00-0022,C13,C14,C05,,,,,,,,,,,,,,,
000101-00-0024,C18,C17,,,,,,,,,,,,,,,,
000101-00-0027,C10,C06,C01,,,,,,,,,,,,,,,
000101-00-0028,C18,C12,C17,C05,C09,C14,,,,,,,,,,,,
000101-00-0030,C10,C15,C07,,,,,,,,,,,,,,,
000101-00-0032,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0035,C10,C13,C03,C04,,,,,,,,,,,,,,
000101-00-0036,C10,C15,C06,,,,,,,,,,,,,,,
000101-00-0038,C18,C17,C12,C05,C03,C14,,,,,,,,,,,,
000101-00-0041,C17,C18,C05,,,,,,,,,,,,,,,
000101-00-0042,C18,C17,,,,,,,,,,,,,,,,
000101-00-0045,C18,,,,,,,,,,,,,,,,,
000101-00-0046,C05,C18,C17,C12,,,,,,,,,,,,,,
000101-00-0048,C05,C18,C17,C04,,,,,,,,,,,,,,
000101-00-0050,C10,C04,C03,,,,,,,,,,,,,,,
000101-00-0052,C18,C17,,,,,,,,,,,,,,,,
000101-00-0054,C04,C03,C12,C18,C14,,,,,,,,,,,,,
000101-00-0056,C17,C05,C13,C16,C03,C18,,,,,,,,,,,,
000101-00-0058,C03,C18,C13,C04,C17,C06,C11,C08,C09,C10,C15,,,,,,,
000101-00-0060,C18,,,,,,,,,,,,,,,,,
000101-00-0062,C03,C14,C16,C10,C15,C06,C07,C08,C09,C01,C02,C04,C05,C12,C13,C17,C11,C18
000101-00-0064,C18,C10,,,,,,,,,,,,,,,,
000101-00-0066,C18,,,,,,,,,,,,,,,,,
000101-00-0068,C04,C03,C10,C13,C06,C12,C15,C14,C01,,,,,,,,,
000101-00-0071,C17,C05,C18,C04,,,,,,,,,,,,,,
000101-00-0072,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0074,C18,C05,C17,C14,C07,C04,C03,C01,C16,C02,C08,C13,C11,C06,C12,C09,C10,C15
000101-00-0076,C18,C14,,,,,,,,,,,,,,,,
000101-00-0079,C18,C07,C11,C10,C08,,,,,,,,,,,,,
000101-00-0081,C13,C18,,,,,,,,,,,,,,,,
000101-00-0082,C17,,,,,,,,,,,,,,,,,
000101-00-0083,C18,C05,,,,,,,,,,,,,,,,
000101-00-0085,C04,,,,,,,,,,,,,,,,,
000101-00-0087,C09,C08,C12,C18,,,,,,,,,,,,,,
000101-00-0089,C04,C15,C09,,,,,,,,,,,,,,,
000101-00-0092,C18,C02,,,,,,,,,,,,,,,,
000101-00-0095,C18,C05,C12,C14,C10,C04,C07,C08,C16,,,,,,,,,
000101-00-0096,C05,C18,C14,,,,,,,,,,,,,,,
000101-00-0098,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0100,C17,C18,C03,C14,C05,C12,C13,C16,,,,,,,,,,
000101-00-0103,C05,C03,C18,C14,C17,C10,C15,C11,C13,C12,C06,C16,,,,,,
