rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
"Bowman, Manikka L.","Crutchfield, Jake W.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Crutchfield, Jake W.","Bowman, Manikka L.","Fantini, Alfred B.","Cisternino, Pia","Kadete, Elechi M.","Cronin, Fran Albin","Dexter, Emily R.","Harding, Jr., Richard",skipped,skipped
"Crutchfield, Jake W.","Cronin, Fran Albin","Weinstein, David J.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Cisternino, Pia","Cronin, Fran Albin","Dexter, Emily R.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Cronin, Fran Albin","Cisternino, Pia","Bowman, Manikka L.","Weinstein, David J.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M."
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran Albin","Kelly, Kathleen M.","Crutchfield, Jake W.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kelly, Kathleen M.","Harding, Jr., Richard","Cisternino, Pia","Kadete, Elechi M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Cronin, Fran Albin","Weinstein, David J.","Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Harding, Jr., Richard","Kelly, Kathleen M.","Fantini, Alfred B.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cisternino, Pia","Cronin, Fran Albin","Harding, Jr., Richard","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran Albin","Harding, Jr., Richard","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.","Cisternino, Pia","Weinstein, David J.","Crutchfield, Jake W."
"Kelly, Kathleen M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran Albin","Dexter, Emily R.","Cisternino, Pia","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped
"Harding, Jr., Richard","Fantini, Alfred B.","Cronin, Fran Albin","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Jr., Richard","Nolan, Patricia M.","Crutchfield, Jake W.","Weinstein, David J.","Kelly, Kathleen M.","Cronin, Fran Albin","Bowman, Manikka L.","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.","Cisternino, Pia"
"Kadete, Elechi M.","Dexter, Emily R.","Crutchfield, Jake W.","Bowman, Manikka L.","Weinstein, David J.","Cisternino, Pia","Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.","Cronin, Fran Albin"
"Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.","Cronin, Fran Albin","Cisternino, Pia","Crutchfield, Jake W.","Dexter, Emily R.","Bowman, Manikka L.","Kadete, Elechi M."
"Kelly, Kathleen M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Harding, Jr., Richard","Fantini, Alfred B.","Dexter, Emily R.","Crutchfield, Jake W.","Cronin, Fran Albin","Kadete, Elechi M.",skipped
"Bowman, Manikka L.","Weinstein, David J.","Dexter, Emily R.","Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
