rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12
"Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","Crutchfield, Jake W.","Weinstein, David J.","MacArthur, William","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Kelly, Kathleen M.","MacArthur, William","Kimbrough, Laurance V.","Weinstein, David J.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Cronin, Fran A.","Crutchfield, Jake W.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J."
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.","Kimbrough, Laurance V."
"Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Weinstein, David J.","Kimbrough, Laurance V.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Bowman, Manikka L.","Kadete, Elechi M.","Dexter, Emily R.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Manikka L.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","MacArthur, William","Nolan, Patricia M.","Bowman, Manikka L.","Kadete, Elechi M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Dexter, Emily R.","Cronin, Fran A.","Kimbrough, Laurance V.","Weinstein, David J.","Kelly, Kathleen M.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Crutchfield, Jake W.","Bowman, Manikka L.","Nolan, Patricia M.","MacArthur, William","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Mitros, Piotr Flawiusz","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Crutchfield, Jake W.","Weinstein, David J.","Nolan, Patricia M.","Bowman, Manikka L.","MacArthur, William","Kimbrough, Laurance V.","Fantini, Alfred B.","Kelly, Kathleen M."
"Dexter, Emily R.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Mitros, Piotr Flawiusz","Weinstein, David J.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Mitros, Piotr Flawiusz","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Nolan, Patricia M.","Dexter, Emily R.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped
"Cronin, Fran A.","Dexter, Emily R.","Kimbrough, Laurance V.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Kadete, Elechi M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Fantini, Alfred B.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Weinstein, David J.","MacArthur, William","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Kimbrough, Laurance V."
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","MacArthur, William","Kadete, Elechi M.","Cronin, Fran A.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Weinstein, David J.","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W."
"Bowman, Manikka L.","Mitros, Piotr Flawiusz","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Mitros, Piotr Flawiusz","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Fantini, Alfred B.","MacArthur, William","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Weinstein, David J.","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Crutchfield, Jake W."
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Kadete, Elechi M.","Weinstein, David J.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Crutchfield, Jake W."
"Cronin, Fran A.","Fantini, Alfred B.","Bowman, Manikka L.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Bowman, Manikka L.","Nolan, Patricia M.","Kadete, Elechi M.","Dexter, Emily R.","Fantini, Alfred B.","Crutchfield, Jake W.","Mitros, Piotr Flawiusz","MacArthur, William","Cronin, Fran A.","Kimbrough, Laurance V.",skipped
"Crutchfield, Jake W.","Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Fantini, Alfred B.","Weinstein, David J.","Crutchfield, Jake W."
"Kimbrough, Laurance V.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Kimbrough, Laurance V.","Nolan, Patricia M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Fantini, Alfred B.","Kelly, Kathleen M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Dexter, Emily R.","Crutchfield, Jake W.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Kelly, Kathleen M.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.","Kelly, Kathleen M.","Crutchfield, Jake W.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Kadete, Elechi M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Kimbrough, Laurance V.","Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","MacArthur, William","Fantini, Alfred B.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Weinstein, David J.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Dexter, Emily R.","Kelly, Kathleen M.","Fantini, Alfred B.","Kimbrough, Laurance V."
"Cronin, Fran A.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Dexter, Emily R.","Cronin, Fran A.","Kelly, Kathleen M.","Crutchfield, Jake W.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William",Write-In 01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",Write-In 01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Kadete, Elechi M.","Crutchfield, Jake W.","Nolan, Patricia M.",Write-In 01,"Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Weinstein, David J.","Nolan, Patricia M.","Cronin, Fran A.","Dexter, Emily R.","Bowman, Manikka L.","MacArthur, William","Kadete, Elechi M.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped
