rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8
"Lummis, Ben","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","McGovern, Marc C.","Walser, Nancy","Craig, Christopher","Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr."
"Walser, Nancy","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Craig, Christopher","Price, Alan C.","Walser, Nancy","Lummis, Ben"
"Fantini, Alfred B.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Price, Alan C.","McGovern, Marc C.","Lummis, Ben",skipped,skipped
"Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Lummis, Ben","Price, Alan C.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Grassi, Joseph G.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Craig, Christopher",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.","Price, Alan C.","Fantini, Alfred B.","Craig, Christopher"
"Fantini, Alfred B.","McGovern, Marc C.","Craig, Christopher","Price, Alan C.","Harding, Richard, Jr.","Grassi, Joseph G.","Lummis, Ben","Walser, Nancy"
"McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.",skipped,skipped
"McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Price, Alan C.",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Craig, Christopher",skipped,skipped,skipped,skipped
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Craig, Christopher","Price, Alan C.","McGovern, Marc C."
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Walser, Nancy","Price, Alan C.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Price, Alan C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Price, Alan C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Harding, Richard, Jr.",skipped
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped
"Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped
"Lummis, Ben","Craig, Christopher","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Craig, Christopher","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Grassi, Joseph G.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped
"Lummis, Ben","Walser, Nancy","Price, Alan C.","Craig, Christopher","Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","McGovern, Marc C."
"Fantini, Alfred B.","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped
"Lummis, Ben","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher",skipped
"Craig, Christopher","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Grassi, Joseph G.","Craig, Christopher","McGovern, Marc C.","Price, Alan C.","Fantini, Alfred B.","Harding, Richard, Jr.","Lummis, Ben"
"Lummis, Ben","Price, Alan C.","McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped
"Craig, Christopher","Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.","Lummis, Ben","McGovern, Marc C.",skipped,skipped
"McGovern, Marc C.","Grassi, Joseph G.","Price, Alan C.","Craig, Christopher","Lummis, Ben","Walser, Nancy","Fantini, Alfred B.","Harding, Richard, Jr."
"Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Craig, Christopher","McGovern, Marc C.","Lummis, Ben"
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Price, Alan C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher","McGovern, Marc C.","Lummis, Ben"
"Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.","Craig, Christopher","Lummis, Ben",skipped,skipped,skipped
"Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Craig, Christopher",skipped,skipped,skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Craig, Christopher","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.",skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped
"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Craig, Christopher","McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped
"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped
"Craig, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Lummis, Ben","Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher"
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Craig, Christopher","Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.","McGovern, Marc C.",skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Price, Alan C.","McGovern, Marc C.","Craig, Christopher","Lummis, Ben","Fantini, Alfred B.","Walser, Nancy","Harding, Richard, Jr."
"Fantini, Alfred B.","Grassi, Joseph G.","Craig, Christopher","Walser, Nancy","Price, Alan C.","Lummis, Ben","McGovern, Marc C.",skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped
"Price, Alan C.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped
"Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Price, Alan C.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Price, Alan C.","Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped
"Fantini, Alfred B.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","Lummis, Ben","Walser, Nancy","Craig, Christopher","Harding, Richard, Jr.","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G."
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.","Lummis, Ben",skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped
"Price, Alan C.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped,skipped,skipped
"Craig, Christopher","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Price, Alan C.","Harding, Richard, Jr.","Craig, Christopher","McGovern, Marc C.",skipped,skipped,skipped
"Craig, Christopher","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Craig, Christopher","Walser, Nancy","McGovern, Marc C.","Price, Alan C.","Grassi, Joseph G.",skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Grassi, Joseph G.","Lummis, Ben",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Lummis, Ben","Craig, Christopher",skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Price, Alan C.","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped
"McGovern, Marc C.","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher","Lummis, Ben",skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G."
"McGovern, Marc C.","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher","Lummis, Ben",skipped,skipped,skipped
"Price, Alan C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Craig, Christopher"
"Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.","Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Price, Alan C.",skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Craig, Christopher","McGovern, Marc C.","Lummis, Ben"
"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.","Harding, Richard, Jr.","Craig, Christopher","Price, Alan C.",skipped,skipped
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.","Harding, Richard, Jr.","Craig, Christopher","Price, Alan C.",skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Craig, Christopher","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Lummis, Ben","Craig, Christopher",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Price, Alan C.","McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Craig, Christopher"
skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Grassi, Joseph G."
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped
"Lummis, Ben","Price, Alan C.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy",skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Walser, Nancy","McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped
"McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped
"Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Grassi, Joseph G.","Craig, Christopher","McGovern, Marc C.","Price, Alan C.","Lummis, Ben","Fantini, Alfred B.","Harding, Richard, Jr."
"McGovern, Marc C.","Lummis, Ben","Craig, Christopher","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Craig, Christopher","McGovern, Marc C.","Lummis, Ben",skipped,skipped
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Craig, Christopher","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Fantini, Alfred B.","Lummis, Ben",skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,"McGovern, Marc C.",skipped,skipped
"Fantini, Alfred B.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Craig, Christopher",skipped,"Fantini, Alfred B.","Price, Alan C.","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Grassi, Joseph G."
"Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Price, Alan C.","McGovern, Marc C.","Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Price, Alan C.","Harding, Richard, Jr.","McGovern, Marc C.","Craig, Christopher",skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","Harding, Richard, Jr.","Grassi, Joseph G.",skipped
"Grassi, Joseph G.","Harding, Richard, Jr.","Price, Alan C.","Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped
"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Price, Alan C.","Craig, Christopher","Lummis, Ben",skipped,skipped,skipped,skipped
"Lummis, Ben","Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Price, Alan C.","Lummis, Ben","Craig, Christopher",skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","Grassi, Joseph G.","Price, Alan C.","Craig, Christopher","Fantini, Alfred B.","McGovern, Marc C.",skipped
