rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8
"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Walser, Nancy","Price, Alan C.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Price, Alan C.","Walser, Nancy","Craig, Christopher","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben"
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped
"McGovern, Marc C.","Price, Alan C.","Harding, Richard, Jr.","Walser, Nancy","Lummis, Ben",skipped,skipped,skipped
"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Walser, Nancy","Harding, Richard, Jr.","Price, Alan C.",skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped
"Grassi, Joseph G.","McGovern, Marc C.","Fantini, Alfred B.","Walser, Nancy","Lummis, Ben","Craig, Christopher",skipped,skipped
"Fantini, Alfred B.","Craig, Christopher","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Price, Alan C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped
