rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8
"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Schuster, Luc","Lummis, Ben",skipped,skipped
"Fantini, Alfred B.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Walser, Nancy","McGovern, Marc C.","Schuster, Luc","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Nolan, Patricia M.","Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.",skipped
"Lummis, Ben","Harding, Richard, Jr.","Nolan, Patricia M.","McGovern, Marc C.","Fantini, Alfred B.","Walser, Nancy",skipped,skipped
"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped
"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped
"Harding, Richard, Jr.","Walser, Nancy","Schuster, Luc","Fantini, Alfred B.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Grassi, Joseph G."
"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Nolan, Patricia M.","Lummis, Ben","Walser, Nancy",skipped,skipped,skipped,skipped
"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Grassi, Joseph G.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","Nolan, Patricia M.","McGovern, Marc C.","Schuster, Luc","Fantini, Alfred B.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr."
"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Schuster, Luc","Nolan, Patricia M.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B."
"McGovern, Marc C.","Harding, Richard, Jr.","Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped
"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
"Schuster, Luc","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Lummis, Ben","Fantini, Alfred B.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.","Nolan, Patricia M.","Schuster, Luc"
"Lummis, Ben","McGovern, Marc C.","Schuster, Luc","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"Schuster, Luc","Lummis, Ben","Fantini, Alfred B.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Harding, Richard, Jr.","Walser, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Schuster, Luc","Lummis, Ben","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Harding, Richard, Jr.","Fantini, Alfred B.","Nolan, Patricia M.","Walser, Nancy","Grassi, Joseph G.","Lummis, Ben",skipped
"Walser, Nancy","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Schuster, Luc","Nolan, Patricia M.","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G."
"McGovern, Marc C.","Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Walser, Nancy","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
"Schuster, Luc","Nolan, Patricia M.","Fantini, Alfred B.","Lummis, Ben","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped
"Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Lummis, Ben","Harding, Richard, Jr.","McGovern, Marc C.","Walser, Nancy","Fantini, Alfred B.",skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped
"Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.","Walser, Nancy","Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr."
"Walser, Nancy","Harding, Richard, Jr.","McGovern, Marc C.","Grassi, Joseph G.","Fantini, Alfred B.","Lummis, Ben","Nolan, Patricia M.","Schuster, Luc"
"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Walser, Nancy","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped
"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Walser, Nancy","Lummis, Ben","McGovern, Marc C.",skipped,skipped
"Lummis, Ben","Harding, Richard, Jr.","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Schuster, Luc",skipped,skipped
"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Walser, Nancy","Fantini, Alfred B.","Harding, Richard, Jr.","Schuster, Luc","Nolan, Patricia M.","Grassi, Joseph G.","Lummis, Ben"
"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
